AAFam	Offspring_DI
A1	5.95
A2	5.1423
A	6.05
A4	6.15
A5	6.45
B1	5.95
B2	5.1423
B3	6.05
B4	6.15
B5	6.45
C6	5.8
C7	5.65
C8	6.5
C9	5.8
C10	5.6
D6	5.85
D7	5.7
D8	6.55
D9	5.85
D10	5.65
E11	6.45
E12	7.95
E13	6.6
E14	5.7923
E15	5.75
F11	6.45
F12	7.95
F13	6.6
F14	5.7923
F15	5.75
S46	5.85
S47	6.05
S48	6.05
S49	6.35
S4	6.45
T46	7.55
T47	7.75
T48	7.75
T49	8.05
T4	8.15
G16	8.7
G17	7.5
G18	7.15
G19	8.3
G20	8.7
H16	8.65
H17	7.45
H18	7.1
H19	8.25
H20	8.65
I21	8.55
I22	8.15
I23	8.95
I24	8.8
I25	8.6
J21	8.6
J22	8.2
J23	9
J24	8.85
J25	8.65
K26	8.65
K27	8.85
K28	9
K29	8.6
K30	9
L26	8.2
L27	8.4
L28	8.55
L29	8.15
L30	8.55
M31	11
M32	10.65
M33	10.75
M34	10.9
M35	10.7
N31	11.5
N31	11.325
N32	11.375
N33	11.45
N34	11.35
O36	10.9
O37	10.95
O38	10.85
O39	10.75
O40	11.2
P36	11.55
P37	11.575
P38	11.525
P39	11.475
P40	11.7
Q41	10.65
Q42	10.75
Q43	10.75
Q44	10.85
Q45	10.75
R41	11.075
R42	11.125
R43	11.125
R44	11.175
R45	11.125
U51	10.75
U52	9.6
U53	8.3
U54	10.6
U55	9.85
V51	10.35
V52	9.2
V53	7.9
V54	10.2
V55	9.45
W56	7.95
W57	10.55
W58	9.9
W59	8.75
W60	10.55
X56	7.95
X57	10.55
X58	9.9
X59	8.75
X60	10.55
Y61	9.9
Y62	9.35
Y63	10.7
Y64	10.25
Y65	7.9
Z61	9.95
Z62	9.4
Z63	10.75
Z64	10.3
Z65	7.95
